WORD,POS,FREQ,RANK
發音,Na,74, 81.89
痛苦,Na,74, 81.89
場景,Na,74, 81.89
速率,Na,74, 81.89
規律,Na,74, 81.89
脖子,Na,74, 81.89
國際性,Na,74, 81.90
素材,Na,74, 81.91
書包,Na,74, 81.91
省籍,Na,74, 81.91
封面,Na,74, 81.92
保證,Na,74, 81.92
批判,Na,74, 81.93
吸引力,Na,74, 81.93
考古學,Na,74, 81.94
冰箱,Na,74, 81.94
光碟機,Na,74, 81.94
光芒,Na,74, 81.95
方針,Na,74, 81.95
戶籍,Na,74, 81.95
譜,Na,73, 81.97
選票,Na,73, 81.97
戰略,Na,73, 81.97
學人,Na,73, 81.97
實體,Na,73, 81.98
嫌犯,Na,73, 81.99
陽台,Na,73, 81.99
開發案,Na,73, 81.99
處分,Na,73, 82.00
強度,Na,73, 82.00
婆婆,Na,73, 82.00
副院長,Na,73, 82.01
風情,Na,73, 82.01
皇宮,Na,73, 82.01
政經,Na,73, 82.01
政務,Na,73, 82.02
兩,Nf,73, 82.02
男朋友,Na,73, 82.03
把握,Na,73, 82.03
有線電視,Na,73, 82.04
曲目,Na,73, 82.04
本能,Na,73, 82.04
牛肉,Na,73, 82.05
片子,Na,73, 82.05
父子,Na,73, 82.05
匹,Nf,73, 82.05
介詞,Na,73, 82.05
小子,Na,73, 82.05
士兵,Na,73, 82.06
騎士,Na,72, 82.07
鎮長,Na,72, 82.08
聯軍,Na,72, 82.08
錶,Na,72, 82.08
遺憾,Na,72, 82.08
精英,Na,72, 82.08
詮釋,Na,72, 82.09
程,Na,72, 82.11
琴,Na,72, 82.11
報酬,Na,72, 82.12
船隻,Na,72, 82.12
習俗,Na,72, 82.12
起,Nf,72, 82.13
容積率,Na,72, 82.13
音量,Na,72, 82.14
紅樹林,Na,72, 82.14
界限,Na,72, 82.14
後人,Na,72, 82.14
長輩,Na,72, 82.14
社交,Na,72, 82.15
枝,Nf,72, 82.15
招,Nf,72, 82.15
店面,Na,72, 82.15
足球,Na,72, 82.15
沙,Na,72, 82.16
名牌,Na,72, 82.16
共同體,Na,72, 82.16
必然,Na,72, 82.17
外公,Na,72, 82.17
台獨,Na,72, 82.17
日軍,Na,72, 82.17
櫻花,Na,71, 82.18
墨,Na,71, 82.19
雷達,Na,71, 82.19
資訊業,Na,71, 82.20
腦筋,Na,71, 82.20
意念,Na,71, 82.20
發現,Na,71, 82.21
報表,Na,71, 82.21
傘,Na,71, 82.21
規程,Na,71, 82.21
基準,Na,71, 82.22
動向,Na,71, 82.22
班長,Na,71, 82.22
注意力,Na,71, 82.23
性情,Na,71, 82.23
災害,Na,71, 82.24
平方公尺,Nf,71, 82.24
王,Na,71, 82.24
片段,Na,71, 82.25
火災,Na,71, 82.25
公約,Na,71, 82.25
聯隊,Na,70, 82.26
濃度,Na,70, 82.27
廣義,Na,70, 82.27
群,Na,70, 82.28
猴子,Na,70, 82.29
被單,Na,70, 82.29
粒線體,Na,70, 82.29
異性,Na,70, 82.30
教官,Na,70, 82.30
探針,Na,70, 82.30
婚紗,Na,70, 82.31
高潮,Na,70, 82.31
財經,Na,70, 82.31
脂肪,Na,70, 82.31
海豚,Na,70, 82.32
株,Nf,70, 82.32
契機,Na,70, 82.33
金屬,Na,70, 82.33
肩膀,Na,70, 82.34
性行為,Na,70, 82.34
官僚,Na,70, 82.34
各行各業,Na,70, 82.36
白雲,Na,70, 82.36
本事,Na,70, 82.36
兄,Na,70, 82.36
世代,Na,70, 82.37
巴西人,Na,70, 82.37
工,Na,70, 82.38
小鳥,Na,70, 82.38
護士,Na,69, 82.38
蟋蟀,Na,69, 82.39
療法,Na,69, 82.40
雕像,Na,69, 82.40
農地,Na,69, 82.41
路,Nf,69, 82.41
黑人,Na,69, 82.42
童話,Na,69, 82.42
麻雀,Na,69, 82.43
野心,Na,69, 82.43
帳,Na,69, 82.44
專利權,Na,69, 82.44
記載,Na,69, 82.44
海灘,Na,69, 82.44
書畫,Na,69, 82.45
知名度,Na,69, 82.46
味,Na,69, 82.46
身影,Na,69, 82.47
平地,Na,69, 82.47
火山,Na,69, 82.48
比重,Na,69, 82.48
寸,Nf,69, 82.49
大麻,Na,69, 82.49
士氣,Na,69, 82.49
禪師,Na,68, 82.50
駱駝,Na,68, 82.50
複句,Na,68, 82.50
窮人,Na,68, 82.51
熱,Na,68, 82.51
疑慮,Na,68, 82.52
電機,Na,68, 82.52
準則,Na,68, 82.52
微處理器,Na,68, 82.52
裁判,Na,68, 82.52
畫展,Na,68, 82.53
期刊,Na,68, 82.53
婦人,Na,68, 82.53
健保,Na,68, 82.54
院子,Na,68, 82.54
烏托邦,Na,68, 82.54
校門,Na,68, 82.54
家園,Na,68, 82.55
香,Na,68, 82.55
思維,Na,68, 82.56
前景,Na,68, 82.56
表格,Na,68, 82.56
往事,Na,68, 82.57
系主任,Na,68, 82.57
呎,Nf,68, 82.58
生機,Na,68, 82.59
幼蟲,Na,68, 82.59
古董,Na,68, 82.59
大選,Na,68, 82.59
德,Na,67, 82.61
層,Na,67, 82.61
歌劇,Na,67, 82.61
隕石,Na,67, 82.62
罪,Na,67, 82.62
週刊,Na,67, 82.62
華裔,Na,67, 82.62
窗戶,Na,67, 82.63
發表會,Na,67, 82.63
智,Na,67, 82.63
傢伙,Na,67, 82.63
啟示,Na,67, 82.64
高峰,Na,67, 82.64
酒精,Na,67, 82.64
風暴,Na,67, 82.65
要件,Na,67, 82.66
英國人,Na,67, 82.66
秒鐘,Nf,67, 82.66
建材,Na,67, 82.66
協調會,Na,67, 82.67
亞種,Na,67, 82.67
別墅,Na,67, 82.68
布條,Na,67, 82.69
失誤,Na,67, 82.69
史料,Na,67, 82.69
主,Na,67, 82.70
文人,Na,67, 82.70
天性,Na,67, 82.70
關節,Na,66, 82.72
關,Na,66, 82.72
賽程,Na,66, 82.72
誤解,Na,66, 82.73
歌謠,Na,66, 82.73
預測,Na,66, 82.73
電視機,Na,66, 82.73
路徑,Na,66, 82.74
想像,Na,66, 82.74
感想,Na,66, 82.75
華僑,Na,66, 82.75
淚,Na,66, 82.76
骨頭,Na,66, 82.77
美元,Na,66, 82.78
後代,Na,66, 82.79
沉船,Na,66, 82.80
汙染,Na,66, 82.81
台語,Na,66, 82.81
水面,Na,66, 82.82
木材,Na,66, 82.82
心血,Na,66, 82.82
引擎,Na,66, 82.82
工作者,Na,66, 82.83
山坡,Na,66, 82.83
小提琴,Na,66, 82.84
大學法,Na,66, 82.84
大雨,Na,66, 82.84
NII,Na,66, 82.85
藍圖,Na,65, 82.85
餐飲,Na,65, 82.86
頻寬,Na,65, 82.86
遭遇,Na,65, 82.86
輪,Nf,65, 82.87
綽號,Na,65, 82.87
菁英,Na,65, 82.88
善惡,Na,65, 82.88
組,Na,65, 82.89
巢,Na,65, 82.90
病變,Na,65, 82.90
特權,Na,65, 82.91
紅血球,Na,65, 82.91
房價,Na,65, 82.92
妹,Na,65, 82.92
血壓,Na,65, 82.93
羽毛,Na,65, 82.93
成品,Na,65, 82.93
地坪,Na,65, 82.94
夫,Na,65, 82.94
中藥,Na,65, 82.95
工夫,Na,65, 82.95
女朋友,Na,65, 82.96
土木,Na,65, 82.96
DOS,Na,65, 82.96
魔術,Na,64, 82.97
寶座,Na,64, 82.97
壞事,Na,64, 82.98
聯合會,Na,64, 82.98
樹枝,Na,64, 82.98
學長,Na,64, 82.98
聚會,Na,64, 82.99
維他命,Na,64, 82.99
意圖,Na,64, 83.00
傷口,Na,64, 83.00
黑暗,Na,64, 83.01
黑面琵鷺,Na,64, 83.01
善意,Na,64, 83.01
援助,Na,64, 83.01
情侶,Na,64, 83.02
國度,Na,64, 83.02
神明,Na,64, 83.03
浪潮,Na,64, 83.03
恐龍,Na,64, 83.03
香蕉,Na,64, 83.04
香味,Na,64, 83.04
面孔,Na,64, 83.04
美商,Na,64, 83.04
信號,Na,64, 83.05
法師,Na,64, 83.05
忠告,Na,64, 83.05
佳作,Na,64, 83.06
自主性,Na,64, 83.06
玉,Na,64, 83.07
公關,Na,64, 83.07
不動產,Na,64, 83.07
大展,Na,64, 83.08
纖維,Na,63, 83.08
權勢,Na,63, 83.08
權利金,Na,63, 83.09
頻譜,Na,63, 83.09
豬肉,Na,63, 83.09
廢棄物,Na,63, 83.09
睡眠,Na,63, 83.10
構圖,Na,63, 83.10
葡萄,Na,63, 83.10
經,Na,63, 83.11
節日,Na,63, 83.11
集,Na,63, 83.12
貴賓,Na,63, 83.12
等,Na,63, 83.12
單打,Na,63, 83.12
勞動,Na,63, 83.12
國中生,Na,63, 83.13
副研究員,Na,63, 83.13
停車位,Na,63, 83.14
財源,Na,63, 83.14
紅茶,Na,63, 83.15
突破,Na,63, 83.15
城鄉,Na,63, 83.15
官兵,Na,63, 83.16
典範,Na,63, 83.16
供需,Na,63, 83.16
作物,Na,63, 83.17
色調,Na,63, 83.17
字典,Na,63, 83.17
多頭,Na,63, 83.17
光華,Na,63, 83.18
企劃,Na,63, 83.18
任內,Na,63, 83.18
史,Na,63, 83.18
功用,Na,63, 83.19
方程式,Na,63, 83.19
友誼,Na,63, 83.19
人馬,Na,63, 83.20
鑽石,Na,62, 83.20
攝氏,Na,62, 83.20
議程,Na,62, 83.21
鍋,Na,62, 83.21
舉動,Na,62, 83.21
標記,Na,62, 83.22
銅,Na,62, 83.22
漲幅,Na,62, 83.23
壽命,Na,62, 83.23
裝備,Na,62, 83.23
照明,Na,62, 83.24
溪流,Na,62, 83.24
結局,Na,62, 83.24
勞動力,Na,62, 83.25
混凝土,Na,62, 83.26
桿,Na,62, 83.26
動畫,Na,62, 83.27
副作用,Na,62, 83.27
時日,Na,62, 83.27
員,Nf,62, 83.27
值,Na,62, 83.28
風光,Na,62, 83.28
長老,Na,62, 83.28
社會學,Na,62, 83.28
放射線,Na,62, 83.29
姐姐,Na,62, 83.29
制,Na,62, 83.29
車票,Na,62, 83.30
身高,Na,62, 83.30
步調,Na,62, 83.30
尾,Na,62, 83.30
尿液,Na,62, 83.30
次長,Na,62, 83.31
皮草,Na,62, 83.32
叫聲,Na,62, 83.32
中產階級,Na,62, 83.33
大海,Na,62, 83.33
大夫,Na,62, 83.33
口氣,Na,62, 83.33
一剎那,Na,62, 83.34
鹽,Na,61, 83.34
體積,Na,61, 83.35
警員,Na,61, 83.35
議長,Na,61, 83.35
鬍子,Na,61, 83.35
獵人,Na,61, 83.36
遺物,Na,61, 83.36
樹葉,Na,61, 83.36
器物,Na,61, 83.37
標題,Na,61, 83.37
農,Na,61, 83.38
腦袋,Na,61, 83.38
筆記,Na,61, 83.39
通道,Na,61, 83.39
國樂,Na,61, 83.40
哥,Na,61, 83.41
穿著,Na,61, 83.41
後衛,Na,61, 83.41
帝王,Na,61, 83.42
阻力,Na,61, 83.42
波,Na,61, 83.42
杯子,Na,61, 83.42
承諾,Na,61, 83.43
足跡,Na,61, 83.43
沙發,Na,61, 83.43
低價,Na,61, 83.43
行動電話,Na,61, 83.44
老公,Na,61, 83.44
汗,Na,61, 83.44
忙,Na,61, 83.44
白皮書,Na,61, 83.45
民謠,Na,61, 83.45
功力,Na,61, 83.45
天花板,Na,61, 83.46
鑰匙,Na,60, 83.47
戲曲,Na,60, 83.49
默契,Na,60, 83.49
學年,Na,60, 83.49
摩托車,Na,60, 83.50
精業,Na,60, 83.51
管線,Na,60, 83.51
歌詞,Na,60, 83.51
鈔票,Na,60, 83.52
博覽會,Na,60, 83.52
紙張,Na,60, 83.53
笑聲,Na,60, 83.53
症,Na,60, 83.54
核子,Na,60, 83.54
時數,Na,60, 83.54
家電,Na,60, 83.54
思潮,Na,60, 83.54
念,Na,60, 83.55
姊妹,Na,60, 83.55
考生,Na,60, 83.57
老,Na,60, 83.57
灰色,Na,60, 83.57
共鳴,Na,60, 83.58
光輝,Na,60, 83.58
代理商,Na,60, 83.59
手腕,Na,60, 83.59
小女孩,Na,60, 83.59
A型,Na,60, 83.61
警告,Na,59, 83.61
寶石,Na,59, 83.61
霧,Na,59, 83.61
親情,Na,59, 83.62
螃蟹,Na,59, 83.62
輪椅,Na,59, 83.63
盤,Na,59, 83.63
樁,Nf,59, 83.63
幕,Nf,59, 83.64
路程,Na,59, 83.64
當地人,Na,59, 83.64
意者,Na,59, 83.64
傳真,Na,59, 83.65
筆墨,Na,59, 83.65
痣,Na,59, 83.65
野鳥,Na,59, 83.66
情懷,Na,59, 83.67
偏差,Na,59, 83.67
起點,Na,59, 83.67
起源,Na,59, 83.67
旅程,Na,59, 83.67
皇家,Na,59, 83.68
星團,Na,59, 83.68
威權,Na,59, 83.68
狀語,Na,59, 83.69
油畫,Na,59, 83.69
宗,Nf,59, 83.70
貝殼,Na,59, 83.70
作文,Na,59, 83.71
位子,Na,59, 83.71
老公公,Na,59, 83.71
成敗,Na,59, 83.71
因果,Na,59, 83.72
名譽,Na,59, 83.72
用法,Na,59, 83.72
公,Na,59, 83.73
才華,Na,59, 83.73
人次,Na,59, 83.74
屬性,Na,58, 83.75
糖尿病,Na,58, 83.76
餘額,Na,58, 83.76
福祉,Na,58, 83.77
跳,Na,58, 83.77
腦子,Na,58, 83.77
塔,Na,58, 83.77
評論,Na,58, 83.78
描述,Na,58, 83.78
幾何,Na,58, 83.78
貨品,Na,58, 83.79
情操,Na,58, 83.80
帶原者,Na,58, 83.80
高溫,Na,58, 83.80
桌,Nf,58, 83.80
故,Na,58, 83.81
物種,Na,58, 83.82
河水,Na,58, 83.82
抱負,Na,58, 83.82
姓,Na,58, 83.83
抉擇,Na,58, 83.83
屁股,Na,58, 83.83
利多,Na,58, 83.84
自來水,Na,58, 83.84
安全性,Na,58, 83.84
生活圈,Na,58, 83.84
卡車,Na,58, 83.85
代表團,Na,58, 83.86
牙,Na,58, 83.86
月餅,Na,58, 83.86
井,Na,58, 83.86
大事,Na,58, 83.87
上限,Na,58, 83.87
黨員,Na,57, 83.87
額,Na,57, 83.87
虧損,Na,57, 83.88
總體,Na,57, 83.88
禪趣,Na,57, 83.88
積分,Na,57, 83.88
燈具,Na,57, 83.88
機密,Na,57, 83.88
獎章,Na,57, 83.89
歐洲人,Na,57, 83.89
標竿,Na,57, 83.89
弊端,Na,57, 83.90
違建,Na,57, 83.90
遊覽車,Na,57, 83.90
農田,Na,57, 83.90
節點,Na,57, 83.91
軸,Na,57, 83.91
勞保,Na,57, 83.92
麥克風,Na,57, 83.92
終生,Na,57, 83.92
族人,Na,57, 83.93
情意,Na,57, 83.93
區運,Na,57, 83.93
配偶,Na,57, 83.93
財力,Na,57, 83.94
缺陷,Na,57, 83.94
海運,Na,57, 83.94
格,Na,57, 83.94
軍官,Na,57, 83.95
皇后,Na,57, 83.95
流水,Na,57, 83.96
佳績,Na,57, 83.96
言行,Na,57, 83.97
折,Nf,57, 83.97
西方人,Na,57, 83.97
衣,Na,57, 83.97
污水,Na,57, 83.97
企業主,Na,57, 83.98
白人,Na,57, 83.98
本性,Na,57, 83.98
友,Na,57, 83.99
大專院校,Na,57, 84.00
人手,Na,57, 84.00
職責,Na,56, 84.01
點心,Na,56, 84.01
謊言,Na,56, 84.01
營隊,Na,56, 84.01
樹幹,Na,56, 84.02
臺商,Na,56, 84.02
幕僚,Na,56, 84.02
賊,Na,56, 84.03
詩歌,Na,56, 84.03
會報,Na,56, 84.03
診斷,Na,56, 84.03
殘障者,Na,56, 84.04
陸軍,Na,56, 84.04
細則,Na,56, 84.05
液晶,Na,56, 84.05
桶,Nf,56, 84.05
晚飯,Na,56, 84.05
帳號,Na,56, 84.05
動植物,Na,56, 84.05
祕密,Na,56, 84.06
保費,Na,56, 84.08
近代史,Na,56, 84.08
肺,Na,56, 84.08
法治,Na,56, 84.08
弦,Na,56, 84.08
官司,Na,56, 84.09
佛法,Na,56, 84.09
白雪,Na,56, 84.09
正確率,Na,56, 84.10
四肢,Na,56, 84.10
古物,Na,56, 84.10
水分,Na,56, 84.11
水土,Na,56, 84.11
手足,Na,56, 84.11
天使,Na,56, 84.11
大樹,Na,56, 84.12
大哥大,Na,56, 84.12
刀子,Na,56, 84.12
人類學,Na,56, 84.12
CPU,Na,56, 84.12
攤位,Na,55, 84.13
鏈,Na,55, 84.13
雞蛋,Na,55, 84.13
瀑布,Na,55, 84.14
鍵盤,Na,55, 84.14
總務,Na,55, 84.14
檔,Na,55, 84.14
頭銜,Na,55, 84.14
餘地,Na,55, 84.14
碼,Na,55, 84.15
說,Na,55, 84.15
種,Na,55, 84.16
圖畫,Na,55, 84.16
嘗試,Na,55, 84.16
解說,Na,55, 84.16
腳,Nf,55, 84.17
義,Na,55, 84.17
意涵,Na,55, 84.17
幹員,Na,55, 84.17
景物,Na,55, 84.18
魚塭,Na,55, 84.18
理事,Na,55, 84.19
淚水,Na,55, 84.19
教育部長,Na,55, 84.19
堂哥,Na,55, 84.20
國軍,Na,55, 84.20
商務,Na,55, 84.20
素養,Na,55, 84.20
核能,Na,55, 84.20
風箏,Na,55, 84.21
為數,Na,55, 84.21
洞穴,Na,55, 84.21
幽浮,Na,55, 84.21
青菜,Na,55, 84.21
爭執,Na,55, 84.22
房租,Na,55, 84.22
汽機車,Na,55, 84.23
合同,Na,55, 84.25
份量,Na,55, 84.25
外長,Na,55, 84.25
水電,Na,55, 84.25
方位,Na,55, 84.25
心臟病,Na,55, 84.25
分,Na,55, 84.26
小販,Na,55, 84.26
子彈,Na,55, 84.26
女郎,Na,55, 84.27
MB,Nf,55, 84.27
礦工,Na,54, 84.28
檳榔,Na,54, 84.28
館長,Na,54, 84.29
縣委,Na,54, 84.29
論點,Na,54, 84.29
編號,Na,54, 84.29
實話,Na,54, 84.30
路段,Na,54, 84.30
嗜好,Na,54, 84.30
童工,Na,54, 84.31
貨車,Na,54, 84.32
票價,Na,54, 84.32
盛況,Na,54, 84.32
情調,Na,54, 84.33
婚禮,Na,54, 84.33
國手,Na,54, 84.33
脈絡,Na,54, 84.33
神仙,Na,54, 84.34
病例,Na,54, 84.34
時效,Na,54, 84.34
效用,Na,54, 84.34
座位,Na,54, 84.34
疫苗,Na,54, 84.35
政客,Na,54, 84.35
巷,Na,54, 84.35
前輩,Na,54, 84.35
係數,Na,54, 84.35
長短,Na,54, 84.35
版權,Na,54, 84.35
抗原,Na,54, 84.37
作曲家,Na,54, 84.37
作,Na,54, 84.37
老二,Na,54, 84.37
字眼,Na,54, 84.37
地層,Na,54, 84.38
覺,Na,53, 84.39
鍵,Na,53, 84.40
舉世,Na,53, 84.40
濕地,Na,53, 84.40
隨選視訊,Na,53, 84.40
戰士,Na,53, 84.40
蝶,Na,53, 84.41
閩南語,Na,53, 84.41
製作人,Na,53, 84.41
滴,Nf,53, 84.42
歌舞,Na,53, 84.42
農藥,Na,53, 84.42
農夫,Na,53, 84.42
節慶,Na,53, 84.43
郵政,Na,53, 84.43
視線,Na,53, 84.43
結婚照,Na,53, 84.43
傑作,Na,53, 84.44
途,Na,53, 84.44
術,Na,53, 84.44
得失,Na,53, 84.45
假設,Na,53, 84.45
陣容,Na,53, 84.45
紛爭,Na,53, 84.46
祕書,Na,53, 84.46
烈酒,Na,53, 84.46
香檳,Na,53, 84.46
首相,Na,53, 84.46
陌生人,Na,53, 84.47
苦難,Na,53, 84.47
眉,Na,53, 84.47
信件,Na,53, 84.48
沼澤,Na,53, 84.48
枕頭,Na,53, 84.48
志工,Na,53, 84.50
吸血鬼,Na,53, 84.50
考核,Na,53, 84.50
羽球,Na,53, 84.50
好事,Na,53, 84.51
因緣,Na,53, 84.51
交流道,Na,53, 84.51
甲組,Na,53, 84.52
田園,Na,53, 84.52
本領,Na,53, 84.52
月球,Na,53, 84.53
心智,Na,53, 84.53
太陽能,Na,53, 84.53
天命,Na,53, 84.53
天色,Na,53, 84.53
公債,Na,53, 84.54
公務,Na,53, 84.54
大街,Na,53, 84.54
癥結,Na,52, 84.55
證件,Na,52, 84.55
鬆弛法,Na,52, 84.55
蹤跡,Na,52, 84.55
鴿子,Na,52, 84.56
寫照,Na,52, 84.56
語言學,Na,52, 84.57
網絡,Na,52, 84.57
僑生,Na,52, 84.57
零組件,Na,52, 84.57
源頭,Na,52, 84.58
絲,Na,52, 84.59
景致,Na,52, 84.59
惡,Na,52, 84.59
壺,Na,52, 84.59
處理器,Na,52, 84.60
笛子,Na,52, 84.60
掙扎,Na,52, 84.60
密碼,Na,52, 84.61
國文,Na,52, 84.61
蚊,Na,52, 84.61
根據,Na,52, 84.61
原油,Na,52, 84.62
原告,Na,52, 84.62
計算機,Na,52, 84.62
研習會,Na,52, 84.62
砂石,Na,52, 84.62
芭蕾,Na,52, 84.63
肥料,Na,52, 84.63
直線,Na,52, 84.63
性命,Na,52, 84.64
育樂,Na,52, 84.64
村落,Na,52, 84.64
佣金,Na,52, 84.65
串,Nf,52, 84.65
自信心,Na,52, 84.65
池,Na,52, 84.65
安全感,Na,52, 84.65
好奇心,Na,52, 84.66
回饋,Na,52, 84.66
全國性,Na,52, 84.66
市議員,Na,52, 84.66
奴隸,Na,52, 84.67
木頭,Na,52, 84.67
戶,Na,52, 84.67
中鋒,Na,52, 84.68
山洞,Na,52, 84.68
大理石,Na,52, 84.68
大三,Na,52, 84.68
士,Na,52, 84.68
丈,Nf,52, 84.68
下水道,Na,52, 84.69
人質,Na,52, 84.69
人影,Na,52, 84.69
關稅,Na,51, 84.70
證書,Na,51, 84.70
藝品,Na,51, 84.70
繩子,Na,51, 84.70
額度,Na,51, 84.70
韓國隊,Na,51, 84.70
牆櫃,Na,51, 84.71
燃料,Na,51, 84.71
憲政,Na,51, 84.71
模組,Na,51, 84.71
歌仔戲,Na,51, 84.71
榕樹,Na,51, 84.72
夢幻,Na,51, 84.72
舅舅,Na,51, 84.72
感冒,Na,51, 84.73
圓形,Na,51, 84.73
華文,Na,51, 84.73
船長,Na,51, 84.74
笙,Na,51, 84.74
盛會,Na,51, 84.74
晚年,Na,51, 84.75
海灣,Na,51, 84.76
庫存,Na,51, 84.76
倉儲,Na,51, 84.76
音樂家,Na,51, 84.77
洪水,Na,51, 84.77
南管,Na,51, 84.77
信息,Na,51, 84.77
赤字,Na,51, 84.78
步伐,Na,51, 84.78
技法,Na,51, 84.79
形勢,Na,51, 84.79
西裝,Na,51, 84.79
竹林,Na,51, 84.79
年級,Na,51, 84.79
多寡,Na,51, 84.79
由來,Na,51, 84.80
代表會,Na,51, 84.80
王朝,Na,51, 84.81
少爺,Na,51, 84.81
天皇,Na,51, 84.81
山丘,Na,51, 84.81
體育課,Na,50, 84.83
警力,Na,50, 84.83
禮儀,Na,50, 84.83
舉止,Na,50, 84.84
環教,Na,50, 84.84
牆面,Na,50, 84.84
檢方,Na,50, 84.84
雕塑,Na,50, 84.84
機票,Na,50, 84.84
賣壓,Na,50, 84.85
箭,Na,50, 84.85
銅像,Na,50, 84.85
精靈,Na,50, 84.85
稱,Na,50, 84.85
像,Na,50, 84.86
經理人,Na,50, 84.86
筷子,Na,50, 84.86
準備,Na,50, 84.86
腎,Na,50, 84.87
猴祭,Na,50, 84.87
惡鬼,Na,50, 84.87
報章,Na,50, 84.87
單價,Na,50, 84.87
單,Na,50, 84.87
陶藝,Na,50, 84.88
票房,Na,50, 84.88
浪,Na,50, 84.90
時程,Na,50, 84.90
振動台,Na,50, 84.90
飛行員,Na,50, 84.90
飛毛腿,Na,50, 84.91
流域,Na,50, 84.91
星座,Na,50, 84.91
青蛙,Na,50, 84.92
花卉,Na,50, 84.92
直覺,Na,50, 84.92
板塊,Na,50, 84.93
位址,Na,50, 84.94
成語,Na,50, 84.95
名次,Na,50, 84.95
列,Nf,50, 84.95
企管,Na,50, 84.95
伙伴,Na,50, 84.95
功勞,Na,50, 84.96
支票,Na,50, 84.96
天文學,Na,50, 84.96
內戰,Na,50, 84.97
工商業,Na,50, 84.97
小徑,Na,50, 84.97
大腦,Na,50, 84.97
大軍,Na,50, 84.97
一般性,Na,50, 84.97
穩定性,Na,49, 84.98
禮貌,Na,49, 84.98
選戰,Na,49, 84.99
機型,Na,49, 84.99
鞋,Na,49, 84.99
輩,Na,49, 84.99
豬公,Na,49, 84.99
課長,Na,49, 85.00
稿,Na,49, 85.00
樣本,Na,49, 85.00
慶典,Na,49, 85.00
蒸汽,Na,49, 85.00
聚落,Na,49, 85.00
漫畫家,Na,49, 85.01
漢語,Na,49, 85.01
漢字,Na,49, 85.01
墓,Na,49, 85.01
農人,Na,49, 85.02
補償,Na,49, 85.02
經過,Na,49, 85.02
結晶,Na,49, 85.02
陶器,Na,49, 85.03
陸地,Na,49, 85.03
紳士,Na,49, 85.03
殺手,Na,49, 85.03
租金,Na,49, 85.04
神色,Na,49, 85.04
氣流,Na,49, 85.04
席,Nf,49, 85.05
香港人,Na,49, 85.05
食,Na,49, 85.05
音效卡,Na,49, 85.05
紅包,Na,49, 85.05
炸彈,Na,49, 85.05
政治家,Na,49, 85.06
青睞,Na,49, 85.06
花草,Na,49, 85.06
車程,Na,49, 85.07
快門,Na,49, 85.07
生物學,Na,49, 85.09
外語,Na,49, 85.09
元帥,Na,49, 85.10
大勢,Na,49, 85.11
大二,Na,49, 85.11
口腔,Na,49, 85.11
人氣,Na,49, 85.12
IPL,Na,49, 85.12
懷抱,Na,48, 85.13
寵物,Na,48, 85.13
雙打,Na,48, 85.13
鎮民,Na,48, 85.13
標籤,Na,48, 85.14
鼻咽癌,Na,48, 85.15
認知,Na,48, 85.15
摘要,Na,48, 85.15
農產品,Na,48, 85.16
溫泉,Na,48, 85.16
新郎,Na,48, 85.16
雇主,Na,48, 85.17
視障生,Na,48, 85.17
朝會,Na,48, 85.17
散文,Na,48, 85.17
喜劇,Na,48, 85.18
終點,Na,48, 85.18
敘述,Na,48, 85.18
教職員,Na,48, 85.18
專人,Na,48, 85.19
高爾夫球,Na,48, 85.19
馬達,Na,48, 85.19
氣味,Na,48, 85.20
桌椅,Na,48, 85.20
效力,Na,48, 85.20
修正案,Na,48, 85.20
個子,Na,48, 85.20
香煙,Na,48, 85.20
音效,Na,48, 85.20
相片,Na,48, 85.21
冠,Na,48, 85.21
花樣,Na,48, 85.21
佳人,Na,48, 85.22
抗癌人,Na,48, 85.23
利器,Na,48, 85.23
考績,Na,48, 85.23
字符,Na,48, 85.24
好評,Na,48, 85.24
名片,Na,48, 85.24
用意,Na,48, 85.24
月經,Na,48, 85.25
公噸,Nf,48, 85.25
公眾,Na,48, 85.25
公害,Na,48, 85.25
干擾,Na,48, 85.26
小弟,Na,48, 85.26
大使,Na,48, 85.26
大四,Na,48, 85.26
口水,Na,48, 85.26
人民幣,Na,48, 85.27
變更,Na,47, 85.27
,Na,47, 85.27
寶藏,Na,47, 85.27
藍天,Na,47, 85.28
聲勢,Na,47, 85.28
總額,Na,47, 85.28
學習型,Na,47, 85.29
碼,Nf,47, 85.29
樂隊,Na,47, 85.29
廣播,Na,47, 85.29
歌迷,Na,47, 85.30
旗,Na,47, 85.30
慣例,Na,47, 85.30
資本額,Na,47, 85.30
聖歌,Na,47, 85.30
煤,Na,47, 85.30
會計師,Na,47, 85.31
損害,Na,47, 85.31
債務,Na,47, 85.31
無力感,Na,47, 85.32
智財,Na,47, 85.32
鹿,Na,47, 85.32
陸,Na,47, 85.32
訪談,Na,47, 85.33
規章,Na,47, 85.33
眾,Na,47, 85.33
理事會,Na,47, 85.33
國語科,Na,47, 85.33
副詞,Na,47, 85.34
副所長,Na,47, 85.34
副主席,Na,47, 85.34
索引,Na,47, 85.34
矩陣,Na,47, 85.34
氣體,Na,47, 85.34
時間表,Na,47, 85.34
時分,Na,47, 85.35
旅途,Na,47, 85.35
弱點,Na,47, 85.35
音節,Na,47, 85.35
美德,Na,47, 85.35
美方,Na,47, 85.35
紀律,Na,47, 85.35
客,Na,47, 85.36
娃娃,Na,47, 85.36
城牆,Na,47, 85.36
前鋒,Na,47, 85.37
